nome	lat	lon	pop	X	UF
Serra	-20.116667	-40.3	394160	2.14	ES
Conceição da Barra	-18.583333	-39.75	19310	1.42	ES
Mimoso do Sul	-21.066667	-41.366667	14045	1.6	ES
Fundão	-19.916667	-40.4	12715	1.3	ES
Irupi	-20.35	-41.633333	3505	0.84	ES
Iconha	-20.8	-40.8	5051	0.87	ES
Mucurici	-18.1	-40.516667	9524	1.25	ES
Laranja da Terra	-19.9	-41.066667	3016	1.07	ES
Ibatiba	-20.233333	-41.516667	12265	1.15	ES
Piúma	-20.833333	-40.716667	17634	1.5	ES
Afonso Cláudio	-20.083333	-41.133333	13543	1.76	ES
Domingos Martins	-20.366667	-40.666667	6061	1.15	ES
Linhares	-19.416667	-40.066667	105084	2.38	ES
Mantenópolis	-18.883333	-41.1	8547	1.19	ES
Águia Branca	-18.983333	-40.733333	2554	1.17	ES
Rio Brilhante	-21.8	-54.55	18837	1.83	MS
Campo Verde	-20.416667	-54.066667	22842	1.93	MS
Maracaju	-21.633333	-55.15	22690	2.02	MS
Miranda	-20.233333	-56.366667	13189	1.85	MS
Amambaí	-23.083333	-55.216667	20261	2.03	MS
Paranaíba	-19.666667	-51.183333	32218	2.2	MS
Três Lagoas	-20.8	-51.716667	78714	2.58	MS
Ponta Porã	-22.533333	-55.716667	55765	2.36	MS
Caarapó	-22.633333	-54.8	13863	1.7	MS
Bonito	-21.133333	-56.466667	14504	1.75	MS
Aquidauana	-20.466667	-55.8	35304	2.35	MS
Rio Verde de Mato Grosso	-18.933333	-54.866667	16613	1.77	MS
Ladário	-19.016667	-57.583333	15790	0.98	MS
Guia Lopes da Laguna	-21.433333	-56.116667	9681	0.76	MS
Jardim	-21.466667	-56.15	23781	2.22	MS
Ribas do Rio Pardo	-20.45	-53.766667	11935	1.53	MS
Iguatemi	-23.666667	-54.566667	9619	1.43	MS
Cassilândia	-19.15	-51.75	18498	2.02	MS
Camapuã	-19.5	-54.083333	11119	1.99	MS
Naviraí	-23.133333	-54.216667	36453	2.32	MS
Aparecida do Taboado	-20.083333	-51.083333	17332	1.44	MS
Terenos	-20.433333	-54.833333	6086	1.26	MS
Nioaque	-21.133333	-55.8	6899	1.57	MS
Campo Grande	-20.45	-54.616667	729164	3.75	MS
Dourados	-22.216667	-54.8	162206	2.86	MS
Bataiporã	-22.333333	-53.283333	7346	1.65	MS
Pôrto Murtinho	-21.7	-57.866667	12672	2.2	MS
Bela Vista	-22.1	-56.516667	18127	2	MS
Costa Rica	-23.416667	-54.65	12931	1.78	MS
Itaporã	-22.016667	-54.9	12327	1.41	MS
Sidrolândia	-20.916667	-54.966667	16878	1.89	MS
Corumbá	-19.016667	-57.65	96523	3.02	MS
Anastácio	-20.516667	-55.8	18817	0.9	MS
Coxim	-18.5	-54.75	30216	2.53	MS
Paranhos	-23.916667	-55.416667	6516	1.85	MS
Eldorado	-23.783333	-54.316667	9075	1.44	MS
